City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
645,Marsa Matruh,EG,75.97,clear sky,31.3525,27.2453,Beau Site
648,Katobu,ID,76.57,overcast clouds,-4.9408,122.5276,La Ode Husein
650,Xinxiang,CN,75.52,clear sky,35.3089,113.8672,Guoyu Holiday Inn
651,Sabaudia,IT,84.33,overcast clouds,41.3003,13.0282,Oasi di Kufra
655,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
656,Vaitape,PF,80.26,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
658,Baijiantan,CN,84.02,clear sky,45.6333,85.1833,
660,Marang,MY,84.11,overcast clouds,5.2056,103.2059,DBarakah Homestay
667,Manokwari,ID,81.43,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
669,Gua Musang,MY,77.97,overcast clouds,4.8823,101.9644,Mines Inn Hotel
671,Teknaf,BD,83.98,scattered clouds,20.8624,92.3058,Forestry Guesthouse
682,Mayumba,GA,82.83,light rain,-3.432,10.6554,LIKWALE LODGE
685,Tabou,CI,84.27,light rain,4.423,-7.3528,hotêl doufoulougou
688,Gallipoli,TR,82.26,clear sky,40.4103,26.6708,Oya Hotel
690,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
691,Durban,ZA,78.93,clear sky,-29.8579,31.0292,Hilton Durban
693,Riohacha,CO,82.51,broken clouds,11.5444,-72.9072,Hotel Taroa
