City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Ahipara,NZ,2022-05-12 19:03:51,-35.1667,173.1667,50.49,85,32,4.81
252,Santiago,CL,2022-05-12 19:00:02,-33.4569,-70.6483,67.17,51,100,4.47
253,Conceicao Da Barra,BR,2022-05-12 19:01:42,-18.5933,-39.7322,81.07,66,98,8.55
254,Sitka,US,2022-05-12 19:03:51,57.0531,-135.33,53.49,54,20,4.61
255,Nalut,LY,2022-05-12 19:03:51,30.3333,10.85,67.68,36,19,12.55
256,Dapdap,PH,2022-05-12 19:03:52,12.062,125.4881,80.22,83,55,3.89
257,The Valley,AI,2022-05-12 19:03:52,18.217,-63.0578,83.82,72,69,20.67
258,Nemuro,JP,2022-05-12 19:03:53,43.3236,145.575,44.46,100,100,10.67
259,Souillac,MU,2022-05-12 19:03:53,-20.5167,57.5167,74.64,85,76,8.46
260,Luderitz,NA,2022-05-12 19:03:53,-26.6481,15.1594,56.1,81,2,13.73
261,Harderwijk,NL,2022-05-12 18:59:08,52.3333,5.6167,59.92,70,2,7.76
262,Cidreira,BR,2022-05-12 19:03:54,-30.1811,-50.2056,64.18,65,15,10.89
263,Samarai,PG,2022-05-12 19:03:54,-10.6167,150.6667,81.23,80,100,7.05
264,Mahajanga,MG,2022-05-12 19:03:54,-15.7167,46.3167,75.22,88,20,4.61
265,Mehamn,NO,2022-05-12 19:03:11,71.0357,27.8492,37.31,91,100,24.79
266,Sorland,NO,2022-05-12 19:03:55,67.667,12.6934,44.46,94,100,13.11
267,Maceio,BR,2022-05-12 19:03:29,-9.6658,-35.7353,81.16,76,49,8.86
268,Cabo San Lucas,MX,2022-05-12 19:00:02,22.8909,-109.9124,92.61,52,8,8.59
269,Paveh,IR,2022-05-12 19:03:55,35.0434,46.3565,53.08,49,14,3.36
270,Sabang,ID,2022-05-12 19:03:55,5.8933,95.3214,84.04,74,100,17.49
271,Roma,US,2022-05-12 18:59:35,43.2128,-75.4557,84.51,44,28,6.6
272,Kisangani,CD,2022-05-12 19:03:56,0.5167,25.2,76.37,80,83,0.69
273,Ligayan,PH,2022-05-12 19:03:56,4.6533,119.4706,83.01,77,100,5.48
274,Yushala,RU,2022-05-12 19:03:56,57.0761,64.2601,50.81,51,95,4.61
275,Teguldet,RU,2022-05-12 19:03:57,57.3064,88.1667,48.09,53,100,4.92
276,Xinzhi,CN,2022-05-12 19:03:57,36.4989,111.7047,49.3,86,0,3.6
277,Carnarvon,AU,2022-05-12 19:04:57,-24.8667,113.6333,70.29,76,96,20.62
278,Avera,US,2022-05-12 19:04:58,33.194,-82.5271,82.38,52,98,14.88
279,Atambua,ID,2022-05-12 19:04:58,-9.1061,124.8925,72.75,89,27,2.82
280,Bambous Virieux,MU,2022-05-12 19:04:59,-20.3428,57.7575,73.22,85,18,9.4
281,Vrangel,RU,2022-05-12 19:04:59,42.7297,133.0839,47.43,60,90,6.15
282,Sortavala,RU,2022-05-12 19:04:59,61.7053,30.6918,44.83,95,100,3.69
283,Cabinda,AO,2022-05-12 19:05:00,-5.55,12.2,77.23,91,75,5.48
284,Jaora,IN,2022-05-12 19:05:00,23.6333,75.1333,94.12,19,60,19.6
285,Setermoen,NO,2022-05-12 19:05:00,68.861,18.3486,42.44,90,100,1.99
286,Los Llanos De Aridane,ES,2022-05-12 19:05:01,28.6585,-17.9182,67.12,83,75,13.8
287,Bose,IT,2022-05-12 19:05:01,45.4612,8.0137,69.39,88,100,1.25
288,Mareeba,AU,2022-05-12 19:05:01,-17.0,145.4333,69.44,96,1,2.44
289,Lorengau,PG,2022-05-12 19:05:02,-2.0226,147.2712,81.41,74,96,7.11
290,Camapua,BR,2022-05-12 19:05:02,-19.5314,-54.0439,83.57,46,40,5.03
291,Buala,SB,2022-05-12 19:05:03,-8.145,159.5921,79.66,79,100,1.68
292,Venezuela,VE,2022-05-12 19:00:54,8.0,-66.0,96.48,31,9,14.97
