City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Sibolga,ID,2022-05-17 13:11:30,1.7427,98.7792,78.3,82,100,3.49,overcast clouds
247,Longyearbyen,SJ,2022-05-17 13:11:30,78.2186,15.6401,30.04,69,75,6.91,broken clouds
248,Schramberg,DE,2022-05-17 13:11:31,48.224,8.3858,77.65,50,100,4.07,overcast clouds
249,Isangel,VU,2022-05-17 13:11:31,-19.55,169.2667,76.24,81,87,13.44,overcast clouds
250,Pacific Grove,US,2022-05-17 13:11:31,36.6177,-121.9166,53.28,89,37,5.01,scattered clouds
251,Kapit,MY,2022-05-17 13:11:32,2.0167,112.9333,76.42,88,100,1.88,overcast clouds
252,Redlands,US,2022-05-17 13:11:32,34.0556,-117.1825,63.93,84,75,6.91,broken clouds
253,Concordia,AR,2022-05-17 13:11:32,-31.393,-58.0209,50.07,87,100,16.11,overcast clouds
254,Okhotsk,RU,2022-05-17 13:11:33,59.3833,143.3,32.49,98,100,6.62,overcast clouds
255,Yar-Sale,RU,2022-05-17 13:11:33,66.8333,70.8333,36.03,98,100,11.05,overcast clouds
256,Acapulco,MX,2022-05-17 13:11:33,16.8634,-99.8901,73.22,73,20,0.0,few clouds
257,Manacapuru,BR,2022-05-17 13:11:34,-3.2997,-60.6206,76.95,94,100,6.91,overcast clouds
258,Ponta Delgada,PT,2022-05-17 13:11:34,37.7333,-25.6667,66.51,59,20,24.16,few clouds
